PlasmoDB geneID,Early troph._mRNArpkM,Late troph._mRNArpkM
pf14_0292,51.66428867,42.74711372
pfl2010c,97.42854041,55.18150091
mal7p1.76,156.4033145,105.6628496
pfa0410w,187.7953492,100.0249189
pf07_0027,273.4210752,NULL
mal7p1.204,114.1508036,77.14628077
pfd0115c,937.1712632,497.6996218
pf10_0026,67.82763964,36.41249307
pfl0830w,82.66590532,42.85901347
pf13_0352,70.77511174,25.26092817
pf13_0341,167.6768764,65.37884614
mal7p1.15,32.73548274,13.55046867
pf14_0055,119.0934081,45.39528072
pf10_0285,41.22029371,24.00249243
pf10_0169,71.61494522,51.59101444
mal7p1.14,302.617763,154.6511929
pff1110c,147.3778539,108.7572911
pfd1055w,2218.433945,1422.339538
pf14_0431,477.7773841,166.5494412
pf14_0636,63.98826093,23.43040158
mal7p1.12,274.8165361,118.1434685
mal13p1.52,47.98916944,17.32505385
pf14_0635,73.65036921,NULL
pfe1035c,161.1519804,87.63765257
pf11_0250,268.568597,139.3831746
mal8p1.92,64.46071595,31.02508645
pfl1905w,NULL,NULL
pfi0125c-a,24.74157433,NULL
pfi0125c-b,24.71972133,NULL
pf14_0194,105.4110854,63.3790744
pfa0315w,165.3787762,NULL
pf07_0007,1737.188056,182.9184518
pf11_0191,178.5924372,87.57489034
pfi1770w,220.4637229,NULL
pfl0665c,204.3424208,137.7596082
pfc0441c-a,189.429921,137.337357
pfc0441c-b,190.4179733,137.7164282
mal13p1.116,22.87665962,18.94432628
pfi0255c,51.06611273,26.13822979
pf10_0322,319.3939161,274.9232163
pff1435w,113.8948151,62.82178859
pf14_0465,40.16327231,NULL
pf14_0070,114.979601,89.72728336
mal13p1.322,66.65700986,52.45215799
pfd0975w,98.13176947,68.77009848
pff1055c,121.93554,100.7190901
pfa0515w,128.3793754,99.72432355
pfd1115c,51.08458685,38.52413827
pf14_0724,105.4940781,72.9145183
pf11_0108,197.5149375,195.9346238
pf14_0637,49.58509428,34.32907287
pf08_0028,52.15082949,48.89936349
mal8p1.127,79.04654019,74.21581349
pfd0450c,111.6006292,115.212865
pf14_0478,39.87193807,39.19842348
mal7p1.19,45.86665879,49.66051215
pfl1815c,63.15493487,43.98963661
pf11_0375,80.16267964,105.2407964
pfi1235w,40.3757645,NULL
pfb0370c,137.568855,92.97763105
pf13_0261,36.70817418,NULL
pfc0825c,42.45299978,25.35292959
mal8p1.141,34.86089166,13.9624116
pf11_0402,56.31648359,20.1296476
pff0100w,42.27965771,20.35553966
pfl1470c,79.71341082,30.18030759
mal13p1.93,66.15333205,32.00114297
pf07_0044,67.67305967,NULL
mal8p1.67,147.1193368,82.16908085
pfi0165c,136.184078,95.76211571
pfi1020c,228.1104978,70.87398262
pf11_0090,94.52205501,52.43394787
pf10_0277,117.0422401,94.70201281
pf08_0041,135.9439708,72.16444331
pf14_0422,30.43887625,NULL
mal7p1.113,86.10006533,51.79801703
pf13_0013,168.9244498,84.63873359
pf14_0068,343.9962876,103.2774388
pfe0465c,101.8349071,45.40357578
pf13_0309,88.68738716,37.54862995
pf10_0067,NULL,NULL
pf14_0746,414.2088628,57.64007075
pfi1040c,44.85392969,20.68739346
pf13_0228,806.7564992,607.9572032
pfi0650c,85.58850895,91.75991988
pfb0830w,1777.456683,1413.120188
pf14_0733,175.3745007,71.29645163
pf14_0401,294.582372,198.902432
pf13_0178,184.3443142,80.24067481
mal13p1.170,62.94534699,38.70153092
pf07_0008,1406.505457,174.738613
pff1070c,153.6291898,94.86460599
pfl2515c,4476.217093,623.8866077
pff0090w,1219.030719,125.5214345
pf14_0136,92.65207537,25.12646961
pfe0995c,203.7680746,141.2947435
pf10_0267,49.33458578,31.85108895
pfi1130c,84.18406928,56.74754324
pf08_0135,152.5754873,74.21524914
pfa0465c,160.6665032,104.28734
pfi0150c,142.1812549,89.27979897
mal8p1.130,36.43874534,NULL
mal8p1.131,58.06818006,NULL
pf14_0269,48.23381596,NULL
pf14_0579,1441.754688,1126.890441
mal7p1.300,1150.569507,757.0280655
pf10_0114,181.3396123,141.6248559
pfl0450c,108.1172856,89.84330047
pfi0280c-b,45.33655825,NULL
pfi0280c-a,44.4716705,NULL
pfa0480w,202.6218532,149.8650469
pff1500c,109.3829682,44.32206803
mal13p1.243,38.80941158,29.15669755
pf14_0124,195.6644977,32.66267133
pfe1430c,82.71756104,71.24496675
pfe0810c,2144.896535,1240.725436
pfb0245c,NULL,NULL
pfe1595c,NULL,NULL
pf14_0098,144.7710147,114.5904932
pf08_0076,3328.637156,2060.734202
pf14_0640,NULL,NULL
pff1260c,42.33212965,22.62856798
pf13_0045,1529.522371,966.7579099
pfe0185c,1842.564377,1179.081634
pf14_0214,74.61047948,44.60475379
pf07_0071,174.3401061,91.95332896
mal13p1.275,121.8853748,74.03530794
mal13p1.334,105.4400111,69.82348595
pff0125c,48.41842181,35.08724303
mal13p1.256,67.26401129,31.51995839
pf11_0225,156.6526262,95.20084168
pfi0635c,205.5011434,94.33167968
pf10_0300,142.326254,106.4117704
pff1050w,1677.018977,921.2771552
pf11_0439,85.04601267,58.64993621
pf10_0087,139.2489296,60.63716702
pf10_0278,77.93257049,33.0797047
pfd0355c,158.4402885,61.96466016
pf13_0177,139.7912143,61.33429926
pf10_0200,88.01816204,40.31807597
pfb0860c,74.25122782,31.68936117
pf08_0053,118.8340996,57.22110945
